start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,date,hour
1740992400000,2025-03-03 09:00:00,0.07551228,0.72324853,2.67330888,2.86946682,2025-03-03,9
1740996000000,2025-03-03 10:00:00,0.65868031,0.75431004,121.8823896,133.05342165,2025-03-03,10
1740999600000,2025-03-03 11:00:00,0.09144757,0.7108033,8.11473375,9.96778492,2025-03-03,11
1741003200000,2025-03-03 12:00:00,0.27237746,0.70385717,18.17587104,21.24544164,2025-03-03,12
1741006800000,2025-03-03 13:00:00,0.13865633,0.69873007,19.24394106,21.07576146,2025-03-03,13
1741010400000,2025-03-03 14:00:00,0.66513914,0.47411453,54.05836856,56.53682682,2025-03-03,14
1741014000000,2025-03-03 15:00:00,0.17713283,0.29699227,38.31186082,46.58593376,2025-03-03,15
1741017600000,2025-03-03 16:00:00,1.01154946,0.43071187,89.38039816,91.03945167,2025-03-03,16
1741021200000,2025-03-03 17:00:00,0.77815672,0.44777993,60.07159341,60.69622418,2025-03-03,17
1741024800000,2025-03-03 18:00:00,0.42226252,0.49503921,42.08755914,48.56019015,2025-03-03,18
1741028400000,2025-03-03 19:00:00,0.3226367,0.5022191,24.81994164,29.0373033,2025-03-03,19
1741032000000,2025-03-03 20:00:00,1.68337219,0.72289279,103.12096472,106.05244827,2025-03-03,20
1741035600000,2025-03-03 21:00:00,3.07321166,1.06690315,285.11912377,285.80868429,2025-03-03,21
1741039200000,2025-03-03 22:00:00,0.2537303,1.07784565,14.91643368,15.22381819,2025-03-03,22
1741042800000,2025-03-03 23:00:00,0.36652626,0.98569948,11.23816596,11.3623141,2025-03-03,23
1741046400000,2025-03-04 00:00:00,0.7043843,0.97516056,60.28728657,61.98581858,2025-03-04,0
1741050000000,2025-03-04 01:00:00,1.64038378,1.14917788,204.05816044,206.68835643,2025-03-04,1
1741053600000,2025-03-04 02:00:00,0.69870378,1.20290175,120.59993,153.01612775,2025-03-04,2
1741057200000,2025-03-04 03:00:00,0.33437862,1.01018839,41.28807578,49.82241489,2025-03-04,3
1741060800000,2025-03-04 04:00:00,0.85588942,0.69342807,104.67545244,120.68040795,2025-03-04,4
1741064400000,2025-03-04 05:00:00,0.1971055,0.68533881,11.35334111,12.41764629,2025-03-04,5
1741068000000,2025-03-04 06:00:00,0.33611456,0.68099428,29.73171891,33.27534185,2025-03-04,6
1741071600000,2025-03-04 07:00:00,1.8795634,0.84887701,79.50499023,80.82122623,2025-03-04,7
1741075200000,2025-03-04 08:00:00,0.48095353,0.68324412,73.55885358,81.76210013,2025-03-04,8
1741078800000,2025-03-04 09:00:00,1.10911728,0.74187462,137.78839662,143.07612871,2025-03-04,9
1741082400000,2025-03-04 10:00:00,0.75956771,0.80261591,63.02354113,66.082391,2025-03-04,10
1741086000000,2025-03-04 11:00:00,0.61351434,0.7679909,32.6019275,33.12977418,2025-03-04,11
1741089600000,2025-03-04 12:00:00,1.00971101,0.8840774,168.01247433,182.7576928,2025-03-04,12
