start_time_x,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,timestamp,start_time_y,v,start_time,c,h,l,o,t,hidden_states
1743577200000,2025-04-02 07:00:00,1.34883818,0.88394742,122.55629022,128.13962747,2025-04-02 07:00:00,1743577200000,86.99666925103043,1743577200000,70541.73,70776.48,70541.73,70764.29,1743577200,1
1743580800000,2025-04-02 08:00:00,2.3329714,0.96666341,198.82869916,200.63554058,2025-04-02 08:00:00,1743580800000,50.10573669598315,1743580800000,70461.41,70541.73,70208.56,70541.73,1743580800,1
1743584400000,2025-04-02 09:00:00,0.7400779,0.91025717,37.87803077,38.48405061,2025-04-02 09:00:00,1743584400000,58.891594615246696,1743584400000,70568.88,70866.03,70336.19,70461.41,1743584400,1
1743588000000,2025-04-02 10:00:00,0.11705207,0.86045221,7.70935265,8.19364468,2025-04-02 10:00:00,1743588000000,53.32391825609641,1743588000000,70438.04,70579.96,70348.03,70568.88,1743588000,1
1743591600000,2025-04-02 11:00:00,0.25330975,0.80273172,17.47298757,18.23830185,2025-04-02 11:00:00,1743591600000,50.514927310866376,1743591600000,70163.1,70438.04,70095.13,70438.04,1743591600,1
1743595200000,2025-04-02 12:00:00,0.25310877,0.78157515,16.97366573,17.97072271,2025-04-02 12:00:00,1743595200000,70.05848717039167,1743595200000,70330.77,70344.73,70093.66,70163.1,1743595200,1
1743598800000,2025-04-02 13:00:00,2.68039505,1.10367902,282.88063329,289.48266505,2025-04-02 13:00:00,1743598800000,54.74601312971265,1743598800000,71357.07,71625.74,70330.77,70330.77,1743598800,1
1743602400000,2025-04-02 14:00:00,0.67046847,1.00676906,52.25156587,56.31935163,2025-04-02 14:00:00,1743602400000,57.74239341127463,1743602400000,71613.43,72008.09,71319,71357.07,1743602400,1
1743606000000,2025-04-02 15:00:00,0.19246441,0.70098235,13.4289358,15.78208189,2025-04-02 15:00:00,1743606000000,53.20407912995184,1743606000000,73993.24,74238.11,71613.43,71613.43,1743606000,1
1743609600000,2025-04-02 16:00:00,0.45340201,0.66002865,26.22239237,27.65752271,2025-04-02 16:00:00,1743609600000,27.21409266341203,1743609600000,74049.63,74251.03,73745.65,73993.24,1743609600,1
1743613200000,2025-04-02 17:00:00,0.91357843,0.77381813,53.5300412,53.90112756,2025-04-02 17:00:00,1743613200000,121.1305714932667,1743613200000,73666.53,74280.45,73666.53,74049.63,1743613200,1
1743616800000,2025-04-02 18:00:00,0.22722831,0.77009221,11.99915631,12.95201343,2025-04-02 18:00:00,1743616800000,73.74185672907053,1743616800000,73084.97,73666.53,73084.97,73666.53,1743616800,1
1743620400000,2025-04-02 19:00:00,0.70183099,0.83419538,36.79093357,37.19704231,2025-04-02 19:00:00,1743620400000,107.00035253236086,1743620400000,72643.76,73084.97,72536.21,73084.97,1743620400,1
1743624000000,2025-04-02 20:00:00,1.39707412,0.65086382,67.84315777,72.64785431,2025-04-02 20:00:00,1743624000000,17.43875274460381,1743624000000,71196.55,74153.52,70856.65,72643.76,1743624000,1
1743627600000,2025-04-02 21:00:00,0.25762225,0.59188579,14.43957391,15.19971295,2025-04-02 21:00:00,1743627600000,21.647262666558685,1743627600000,69787.33,71211.15,69787.33,71196.55,1743627600,1
1743631200000,2025-04-02 22:00:00,2.81999202,0.96724688,125.36964821,126.89964089,2025-04-02 22:00:00,1743631200000,99.9765367856469,1743631200000,69289.16,69795.98,69233.41,69787.33,1743631200,1
1743634800000,2025-04-02 23:00:00,1.12742315,1.06353561,44.87431528,45.09692597,2025-04-02 23:00:00,1743634800000,107.68808751909135,1743634800000,69850.94,70176.66,69289.16,69289.16,1743634800,1
1743638400000,2025-04-03 00:00:00,0.60392725,1.01929973,22.16389396,22.34530842,2025-04-03 00:00:00,1743638400000,99.52913339587282,1743638400000,68979.31,69939.98,68954.52,69850.94,1743638400,1
1743642000000,2025-04-03 01:00:00,1.01495758,1.13183248,81.23899926,87.28635174,2025-04-03 01:00:00,1743642000000,64.30832810136978,1743642000000,68860,69071.43,68752.58,68979.31,1743642000,1
1743645600000,2025-04-03 02:00:00,0.58594543,1.1152774,31.2036748,31.64105325,2025-04-03 02:00:00,1743645600000,35.490493243653624,1743645600000,68406.5,68866.41,68241.14,68860,1743645600,1
1743649200000,2025-04-03 03:00:00,0.33673158,0.96379989,29.15392206,31.31603735,2025-04-03 03:00:00,1743649200000,47.79308573087933,1743649200000,68452.83,68499.5,68395.95,68406.5,1743649200,1
1743652800000,2025-04-03 04:00:00,0.44113188,0.99001556,21.18837841,21.61546197,2025-04-03 04:00:00,1743652800000,64.77370028385212,1743652800000,68537.36,68555.7,68452.83,68452.83,1743652800,1
1743656400000,2025-04-03 05:00:00,0.30003242,0.63002133,18.66189579,19.20207519,2025-04-03 05:00:00,1743656400000,70.59525447557367,1743656400000,68456.22,68543.25,68406.12,68537.36,1743656400,1
1743660000000,2025-04-03 06:00:00,1.06406033,0.6209695,76.71526821,79.80452501,2025-04-03 06:00:00,1743660000000,76.31511128233551,1743660000000,68655.99,68655.99,68453.29,68456.22,1743660000,1
1743663600000,2025-04-03 07:00:00,1.19492054,0.70539711,77.88683738,78.86475569,2025-04-03 07:00:00,1743663600000,50.50051996564125,1743663600000,68674.34,68778.51,68655.99,68655.99,1743663600,1
1743667200000,2025-04-03 08:00:00,0.43224917,0.62215305,27.91532453,28.96069433,2025-04-03 08:00:00,1743667200000,80.20867857205003,1743667200000,68176.15,68674.34,68084.76,68674.34,1743667200,1
1743670800000,2025-04-03 09:00:00,0.4785793,0.60681503,28.51626929,30.15049559,2025-04-03 09:00:00,1743670800000,65.35300080840165,1743670800000,68129.12,68413.4,68074.72,68176.15,1743670800,1
1743674400000,2025-04-03 10:00:00,0.22891127,0.59141213,27.26769294,31.36084401,2025-04-03 10:00:00,1743674400000,47.54499482051289,1743674400000,68260.35,68411.36,68129.12,68129.12,1743674400,1
1743678000000,2025-04-03 11:00:00,1.34313039,0.72026906,89.31410257,89.98973646,2025-04-03 11:00:00,1743678000000,26.8413476634738,1743678000000,68780.62,68780.62,68260.35,68260.35,1743678000,1
1743681600000,2025-04-03 12:00:00,0.61196384,0.76483069,42.12846331,44.67336027,2025-04-03 12:00:00,1743681600000,97.2609923303133,1743681600000,69461.19,69709.94,68780.62,68780.62,1743681600,1
1743685200000,2025-04-03 13:00:00,0.73351264,0.71760959,64.69819214,68.95018821,2025-04-03 13:00:00,1743685200000,100.197016174997,1743685200000,70593.9,70607.64,69461.19,69461.19,1743685200,1
1743688800000,2025-04-03 14:00:00,2.14890192,0.85389265,184.75929566,197.69897624,2025-04-03 14:00:00,1743688800000,95.20293614451263,1743688800000,71244.75,71244.75,70443.63,70593.9,1743688800,1
1743692400000,2025-04-03 15:00:00,0.81905828,0.90915109,87.83952637,91.73452779,2025-04-03 15:00:00,1743692400000,47.28092781626104,1743692400000,71320.71,71476.61,71125.79,71244.75,1743692400,1
1743696000000,2025-04-03 16:00:00,0.61216687,0.92823503,16.50839238,16.52850542,2025-04-03 16:00:00,1743696000000,130.1480564574816,1743696000000,71334.42,71438.94,71171.9,71320.71,1743696000,1
1743699600000,2025-04-03 17:00:00,1.45156115,1.1028993,112.88636096,121.93113652,2025-04-03 17:00:00,1743699600000,107.49501844491432,1743699600000,70853.06,71339.66,70849.28,71334.42,1743699600,1
1743703200000,2025-04-03 18:00:00,2.86676916,1.32056198,181.4271231,192.07353404,2025-04-03 18:00:00,1743703200000,119.85424159822158,1743703200000,70757.22,70927.75,70713.82,70853.06,1743703200,1
1743706800000,2025-04-03 19:00:00,1.30974776,1.4202454,87.91463627,90.37259567,2025-04-03 19:00:00,1743706800000,103.96935307207194,1743706800000,71032.13,71085.88,70727.93,70757.22,1743706800,1
