c,h,l,o,t,timestamp
87685.99,87725.67,87651.25,87672.01,1736654400,2025-01-12 04:00:00
87710.37,87710.37,87677.72,87685.99,1736658000,2025-01-12 05:00:00
87717.35,87770.75,87668.82,87710.37,1736661600,2025-01-12 06:00:00
87861.08,87861.08,87685.24,87717.35,1736665200,2025-01-12 07:00:00
87965.08,87965.79,87859.78,87861.08,1736668800,2025-01-12 08:00:00
88255.9,88293.71,87941.06,87965.08,1736672400,2025-01-12 09:00:00
88491.01,88494.55,88255.9,88255.9,1736676000,2025-01-12 10:00:00
88267.58,88492.35,88162.92,88491.01,1736679600,2025-01-12 11:00:00
88395.93,88420.66,88183.61,88267.58,1736683200,2025-01-12 12:00:00
88826.97,89012.65,88376.44,88395.93,1736686800,2025-01-12 13:00:00
88629.42,88826.97,88466.54,88826.97,1736690400,2025-01-12 14:00:00
88345.8,88696.08,88233.08,88629.42,1736694000,2025-01-12 15:00:00
88370.32,88373.22,88287.16,88345.8,1736697600,2025-01-12 16:00:00
88512.64,88540.27,88360.96,88370.32,1736701200,2025-01-12 17:00:00
88563.72,88598.48,88512.64,88512.64,1736704800,2025-01-12 18:00:00
88382.12,88563.72,88335.62,88563.72,1736708400,2025-01-12 19:00:00
88453.16,88465.11,88382.12,88382.12,1736712000,2025-01-12 20:00:00
88265.92,88453.16,88265.92,88453.16,1736715600,2025-01-12 21:00:00
87630.33,88290.86,87584.48,88265.92,1736719200,2025-01-12 22:00:00
87533.95,87707,87487.79,87630.33,1736722800,2025-01-12 23:00:00
87395.78,87582.77,86785.73,87533.95,1736726400,2025-01-13 00:00:00
87268.56,87484.14,87070.19,87395.78,1736730000,2025-01-13 01:00:00
87681.24,87779.71,87247.28,87268.56,1736733600,2025-01-13 02:00:00
87854.37,87894.33,87673.38,87681.24,1736737200,2025-01-13 03:00:00
87075.13,87854.37,87075.13,87854.37,1736740800,2025-01-13 04:00:00
87164.71,87210.22,87066.28,87075.13,1736744400,2025-01-13 05:00:00
87458.77,87538.32,87161.85,87164.71,1736748000,2025-01-13 06:00:00
88006.06,88006.06,87458.77,87458.77,1736751600,2025-01-13 07:00:00
87798.51,88042.94,87740.87,88006.06,1736755200,2025-01-13 08:00:00
88125.72,88171.66,87769.32,87798.51,1736758800,2025-01-13 09:00:00
89805.36,89805.36,87980.9,88125.72,1736762400,2025-01-13 10:00:00
89996.65,90291.27,89805.36,89805.36,1736766000,2025-01-13 11:00:00
89943.46,90041.75,89599.17,89996.65,1736769600,2025-01-13 12:00:00
90430.26,90940.64,89943.46,89943.46,1736773200,2025-01-13 13:00:00
89515.21,90472.04,88227.55,90430.26,1736776800,2025-01-13 14:00:00
88740.32,89605.68,88740.32,89515.21,1736780400,2025-01-13 15:00:00
86972.52,88807.35,86972.52,88740.32,1736784000,2025-01-13 16:00:00
86404.45,86972.52,86359.86,86972.52,1736787600,2025-01-13 17:00:00
86077.02,86404.45,86073.73,86404.45,1736791200,2025-01-13 18:00:00
85671.23,86095.55,85611.66,86077.02,1736794800,2025-01-13 19:00:00
85094.06,85850.08,85089.64,85671.23,1736798400,2025-01-13 20:00:00
84213.88,85145.83,84110.95,85094.06,1736802000,2025-01-13 21:00:00
83660.02,84220.55,83654.72,84213.88,1736805600,2025-01-13 22:00:00
83844.35,83844.35,83614.06,83660.02,1736809200,2025-01-13 23:00:00
84125.63,84159.47,83844.35,83844.35,1736812800,2025-01-14 00:00:00
84824.87,84824.87,84125.63,84125.63,1736816400,2025-01-14 01:00:00
84791.27,85038.63,84752.72,84824.87,1736820000,2025-01-14 02:00:00
84916.25,84916.25,84765.86,84791.27,1736823600,2025-01-14 03:00:00
85112.41,85139.04,84916.25,84916.25,1736827200,2025-01-14 04:00:00
85107.24,85182.08,84947.65,85112.41,1736830800,2025-01-14 05:00:00
84976.61,85107.24,84903.38,85107.24,1736834400,2025-01-14 06:00:00
84809.42,84976.61,84764.03,84976.61,1736838000,2025-01-14 07:00:00
85601.6,85739.78,84809.42,84809.42,1736841600,2025-01-14 08:00:00
85996.69,86237.65,85440,85601.6,1736845200,2025-01-14 09:00:00
85630.99,86048.83,85546.92,85996.69,1736848800,2025-01-14 10:00:00
85343.83,85742.21,85268.98,85630.99,1736852400,2025-01-14 11:00:00
85780.22,85780.22,85294.98,85343.83,1736856000,2025-01-14 12:00:00
85399.66,85821.84,85148.06,85780.22,1736859600,2025-01-14 13:00:00
85023.35,85408.66,84851.3,85399.66,1736863200,2025-01-14 14:00:00
85296.99,85325.39,84922.69,85023.35,1736866800,2025-01-14 15:00:00
84653.03,85296.99,84520.7,85296.99,1736870400,2025-01-14 16:00:00
84116.29,84681.13,84116.29,84653.03,1736874000,2025-01-14 17:00:00
84322.9,84322.9,84082.99,84116.29,1736877600,2025-01-14 18:00:00
84666.94,84749.2,84306.11,84322.9,1736881200,2025-01-14 19:00:00
84623.32,84670.68,84425.73,84666.94,1736884800,2025-01-14 20:00:00
84462.54,84704.96,84448.08,84623.32,1736888400,2025-01-14 21:00:00
84414.65,84462.54,84365.82,84462.54,1736892000,2025-01-14 22:00:00
84489.13,84549.08,84414.65,84414.65,1736895600,2025-01-14 23:00:00
85098.77,85185.57,84470.02,84489.13,1736899200,2025-01-15 00:00:00
85726.6,85771,85098.22,85098.77,1736902800,2025-01-15 01:00:00
86239.69,86273.69,85726.6,85726.6,1736906400,2025-01-15 02:00:00
86293.85,86293.85,86161.93,86239.69,1736910000,2025-01-15 03:00:00
86570.83,86595.63,86293.85,86293.85,1736913600,2025-01-15 04:00:00
85773.64,86570.83,85742.04,86570.83,1736917200,2025-01-15 05:00:00
85785.95,85950.98,85766.35,85773.64,1736920800,2025-01-15 06:00:00
86122.11,86186.26,85784.1,85785.95,1736924400,2025-01-15 07:00:00
86501.05,86508,86122.11,86122.11,1736928000,2025-01-15 08:00:00
85836.79,86564.83,85829.02,86501.05,1736931600,2025-01-15 09:00:00
85732.38,85836.79,85567.33,85836.79,1736935200,2025-01-15 10:00:00
85630.86,85732.38,85487.21,85732.38,1736938800,2025-01-15 11:00:00
85488.96,85806.36,85368.08,85630.86,1736942400,2025-01-15 12:00:00
86350.42,86350.42,85136.45,85488.96,1736946000,2025-01-15 13:00:00
86524.27,86694.81,86347.56,86350.42,1736949600,2025-01-15 14:00:00
87427.3,87565.04,86524.27,86524.27,1736953200,2025-01-15 15:00:00
87025,87458.6,87025,87427.3,1736956800,2025-01-15 16:00:00
86666.04,87084.33,86666.04,87025,1736960400,2025-01-15 17:00:00
86288.21,86666.04,86288.21,86666.04,1736964000,2025-01-15 18:00:00
86919.56,87143.13,86120.13,86288.21,1736967600,2025-01-15 19:00:00
86710.2,86931.42,86337.69,86919.56,1736971200,2025-01-15 20:00:00
86862.49,86926.57,86710.2,86710.2,1736974800,2025-01-15 21:00:00
86732.05,86926.2,86714.64,86862.49,1736978400,2025-01-15 22:00:00
86634.07,86744.79,86466.63,86732.05,1736982000,2025-01-15 23:00:00
86532.23,86812.26,86396.67,86634.07,1736985600,2025-01-16 00:00:00
86562.06,86597.43,86503.76,86532.23,1736989200,2025-01-16 01:00:00
86484.8,86641.99,86394.09,86562.06,1736992800,2025-01-16 02:00:00
86232.66,86538.78,86111.81,86484.8,1736996400,2025-01-16 03:00:00
86261.71,86270.01,86177.15,86232.66,1737000000,2025-01-16 04:00:00
86301.12,86301.12,86185.83,86261.71,1737003600,2025-01-16 05:00:00
86854.92,86856.5,86301.12,86301.12,1737007200,2025-01-16 06:00:00
86726.85,86866.73,86726.85,86854.92,1737010800,2025-01-16 07:00:00
85884.05,87116.7,85830.97,86726.85,1737014400,2025-01-16 08:00:00
85894.42,86088.78,85829.92,85884.05,1737018000,2025-01-16 09:00:00
85784.14,85911.98,85664.12,85894.42,1737021600,2025-01-16 10:00:00
85758.22,85924.15,85658.75,85784.14,1737025200,2025-01-16 11:00:00
85638.76,85758.22,85373.91,85758.22,1737028800,2025-01-16 12:00:00
85690.54,85720.4,85468.44,85638.76,1737032400,2025-01-16 13:00:00
85929.79,85985.48,85267.87,85690.54,1737036000,2025-01-16 14:00:00
84986.67,86234.26,84986.67,85929.79,1737039600,2025-01-16 15:00:00
85442.76,85480.53,84986.67,84986.67,1737043200,2025-01-16 16:00:00
85718.9,85736.05,85442.76,85442.76,1737046800,2025-01-16 17:00:00
85553.1,85793.02,85550.73,85718.9,1737050400,2025-01-16 18:00:00
86877.68,86877.68,85488.38,85553.1,1737054000,2025-01-16 19:00:00
86817.33,86877.68,86662.39,86877.68,1737057600,2025-01-16 20:00:00
86271.63,86817.33,86216.71,86817.33,1737061200,2025-01-16 21:00:00
85864.38,86321.38,85864.38,86271.63,1737064800,2025-01-16 22:00:00
86229.62,86239.64,85837.37,85864.38,1737068400,2025-01-16 23:00:00
86368.84,86393.79,86217.2,86229.62,1737072000,2025-01-17 00:00:00
87224.54,87252.73,86057.16,86368.84,1737075600,2025-01-17 01:00:00
85989.19,87482.82,85989.19,87224.54,1737079200,2025-01-17 02:00:00
85935.52,85994.95,85880.5,85989.19,1737082800,2025-01-17 03:00:00
86219.84,86219.84,85927.96,85935.52,1737086400,2025-01-17 04:00:00
86341.75,86630.57,86219.84,86219.84,1737090000,2025-01-17 05:00:00
86469.29,86473.55,86270.04,86341.75,1737093600,2025-01-17 06:00:00
86513.58,86598.28,86469.29,86469.29,1737097200,2025-01-17 07:00:00
87819.36,87819.36,86513.58,86513.58,1737100800,2025-01-17 08:00:00
87863.11,88308.31,87819.36,87819.36,1737104400,2025-01-17 09:00:00
88225.44,88274.03,87778.93,87863.11,1737108000,2025-01-17 10:00:00
88372.58,88379.62,88139.05,88225.44,1737111600,2025-01-17 11:00:00
89023.27,89031.71,88352.46,88372.58,1737115200,2025-01-17 12:00:00
88807.07,89239.84,88765.89,89023.27,1737118800,2025-01-17 13:00:00
89539.13,89539.13,88780.74,88807.07,1737122400,2025-01-17 14:00:00
90698.32,90698.32,89487.83,89539.13,1737126000,2025-01-17 15:00:00
91388.05,91388.05,90554.1,90698.32,1737129600,2025-01-17 16:00:00
90983.01,91573.22,90944.59,91388.05,1737133200,2025-01-17 17:00:00
91176.06,91176.06,90929.2,90983.01,1737136800,2025-01-17 18:00:00
91227.89,91326.29,91136.87,91176.06,1737140400,2025-01-17 19:00:00
90937.24,91388.26,90937.24,91227.89,1737144000,2025-01-17 20:00:00
90946.66,90973.23,90767.35,90937.24,1737147600,2025-01-17 21:00:00
90528.22,90946.66,90528.22,90946.66,1737151200,2025-01-17 22:00:00
90555.31,90558.7,90486.19,90528.22,1737154800,2025-01-17 23:00:00
90547.41,90688.93,90547.41,90555.31,1737158400,2025-01-18 00:00:00
90513.2,90601.71,90431,90547.41,1737162000,2025-01-18 01:00:00
90487.63,90558.33,90465.16,90513.2,1737165600,2025-01-18 02:00:00
90187.21,90699.24,90072.15,90487.63,1737169200,2025-01-18 03:00:00
89216.6,90212.06,89154.61,90187.21,1737172800,2025-01-18 04:00:00
88621.89,89218.9,88621.89,89216.6,1737176400,2025-01-18 05:00:00
89738.76,89738.76,88621.89,88621.89,1737180000,2025-01-18 06:00:00
89657.06,90191.77,89636.78,89738.76,1737183600,2025-01-18 07:00:00
89923.92,89923.92,89182.15,89657.06,1737187200,2025-01-18 08:00:00
89862.45,89974.42,89808.75,89923.92,1737190800,2025-01-18 09:00:00
89698.83,89918.16,89664.92,89862.45,1737194400,2025-01-18 10:00:00
89784.47,89846.34,89676.44,89698.83,1737198000,2025-01-18 11:00:00
89842.15,90078.11,89729.77,89784.47,1737201600,2025-01-18 12:00:00
89726.78,90096.14,89690.07,89842.15,1737205200,2025-01-18 13:00:00
89444.91,89802.01,89427.85,89726.78,1737208800,2025-01-18 14:00:00
89358.68,89583.28,89324.97,89444.91,1737212400,2025-01-18 15:00:00
88323.07,89358.68,88289.52,89358.68,1737216000,2025-01-18 16:00:00
88276.74,88323.07,87959.27,88323.07,1737219600,2025-01-18 17:00:00
88293.14,88307.19,88194.83,88276.74,1737223200,2025-01-18 18:00:00
87988.6,88312.81,87985.13,88293.14,1737226800,2025-01-18 19:00:00
87681.44,87995.92,87681.44,87988.6,1737230400,2025-01-18 20:00:00
87573.8,87681.44,87560.53,87681.44,1737234000,2025-01-18 21:00:00
87549.06,87581.73,87476.58,87573.8,1737237600,2025-01-18 22:00:00
87809.62,87815.26,87502.12,87549.06,1737241200,2025-01-18 23:00:00
87933.65,87944.68,87782.33,87809.62,1737244800,2025-01-19 00:00:00
88221.36,88221.36,87933.65,87933.65,1737248400,2025-01-19 01:00:00
88327.86,88548.7,88166.94,88221.36,1737252000,2025-01-19 02:00:00
88376.13,88513.44,88312.96,88327.86,1737255600,2025-01-19 03:00:00
87990.2,88526.03,87990.2,88376.13,1737259200,2025-01-19 04:00:00
87663.18,87992.66,87404.79,87990.2,1737262800,2025-01-19 05:00:00
88801.64,88801.64,87663.18,87663.18,1737266400,2025-01-19 06:00:00
89403.38,89403.38,88801.64,88801.64,1737270000,2025-01-19 07:00:00
90180.41,90292.29,89403.38,89403.38,1737273600,2025-01-19 08:00:00
